mic_id,x_mm,y_mm,bus,chip,chip_slot,tdm_slot_48k,tdm_slot_192k_core,is_core16
M01,15.00,1.00,A,U1,0,0,0,1
M02,15.80,8.60,A,U1,1,1,1,1
M03,8.20,15.20,A,U2,0,8,4,1
M04,-0.80,15.70,A,U2,1,9,5,1
M05,-15.30,7.10,B,U3,0,0,0,1
M06,-15.60,-0.80,B,U3,1,1,1,1
M07,-8.30,-14.80,B,U4,0,8,4,1
M08,1.50,-15.40,B,U4,1,9,5,1
M09,25.50,10.50,A,U1,2,2,2,1
M10,13.00,27.50,A,U1,3,3,3,1
M11,-11.00,26.00,A,U2,2,10,6,1
M12,-27.50,11.00,A,U2,3,11,7,1
M13,-25.00,-11.50,B,U3,2,2,2,1
M14,-13.50,-28.00,B,U3,3,3,3,1
M15,10.50,-26.50,B,U4,2,10,6,1
M16,27.00,-12.00,B,U4,3,11,7,1
M17,5.00,46.00,A,U1,4,4,,0
M18,19.00,47.00,A,U1,5,5,,0
M19,36.00,44.50,A,U1,6,6,,0
M20,46.00,28.00,A,U1,7,7,,0
M21,47.00,10.00,B,U4,4,12,,0
M22,43.00,-11.00,B,U4,5,13,,0
M23,31.00,-31.00,B,U4,6,14,,0
M24,13.00,-46.00,B,U4,7,15,,0
M25,-8.00,-47.00,B,U3,4,4,,0
M26,-26.00,-45.00,B,U3,5,5,,0
M27,-43.00,-33.00,B,U3,6,6,,0
M28,-47.00,-12.00,B,U3,7,7,,0
M29,-47.00,9.00,A,U2,4,12,,0
M30,-40.00,30.00,A,U2,5,13,,0
M31,-24.00,46.00,A,U2,6,14,,0
M32,-3.00,44.00,A,U2,7,15,,0
