pair_index,mic_a,mic_b,dx_m,dy_m,baseline_mm
0,M19,M27,0.079000000,0.077500000,110.6673
1,M19,M26,0.062000000,0.089500000,108.8772
2,M20,M27,0.089000000,0.061000000,107.8981
3,M20,M26,0.072000000,0.073000000,102.5329
4,M18,M26,0.045000000,0.092000000,102.4158
5,M19,M25,0.044000000,0.091500000,101.5296
6,M20,M28,0.093000000,0.040000000,101.2373
7,M18,M27,0.062000000,0.080000000,101.2126
8,M19,M28,0.083000000,0.056500000,100.4054
9,M21,M27,0.090000000,0.043000000,99.7447
10,M24,M31,0.037000000,-0.092000000,99.1615
11,M18,M25,0.027000000,0.094000000,97.8008
12,M21,M28,0.094000000,0.022000000,96.5401
13,M17,M26,0.031000000,0.091000000,96.1353
14,M20,M29,0.093000000,0.019000000,94.9210
15,M23,M31,0.055000000,-0.077000000,94.6256
16,M25,M31,0.016000000,-0.093000000,94.3663
17,M21,M29,0.094000000,0.001000000,94.0053
18,M17,M25,0.013000000,0.093000000,93.9042
19,M23,M30,0.071000000,-0.061000000,93.6056
20,M19,M24,0.023000000,0.090500000,93.3769
21,M18,M24,0.006000000,0.093000000,93.1933
22,M24,M30,0.053000000,-0.076000000,92.6553
23,M22,M30,0.083000000,-0.041000000,92.5743
24,M17,M27,0.048000000,0.079000000,92.4392
25,M20,M25,0.054000000,0.075000000,92.4175
26,M17,M24,-0.008000000,0.092000000,92.3472
27,M22,M29,0.090000000,-0.020000000,92.1954
28,M26,M32,-0.023000000,-0.089000000,91.9239
29,M24,M32,0.016000000,-0.090000000,91.4112
30,M21,M26,0.073000000,0.055000000,91.4002
31,M25,M32,-0.005000000,-0.091000000,91.1373
32,M26,M31,-0.002000000,-0.091000000,91.0220
33,M19,M29,0.083000000,0.035500000,90.2732
34,M22,M28,0.090000000,0.001000000,90.0056
35,M21,M30,0.087000000,-0.020000000,89.2693
36,M22,M27,0.086000000,0.022000000,88.7694
37,M18,M28,0.066000000,0.059000000,88.5268
38,M22,M31,0.067000000,-0.057000000,87.9659
39,M14,M19,-0.049500000,-0.072500000,87.7867
40,M23,M29,0.078000000,-0.040000000,87.6584
41,M27,M32,-0.040000000,-0.077000000,86.7698
42,M20,M30,0.086000000,-0.002000000,86.0233
43,M25,M30,0.032000000,-0.077000000,83.3847
44,M13,M19,-0.061000000,-0.056000000,82.8070
45,M10,M27,0.056000000,0.060500000,82.4394
46,M23,M32,0.034000000,-0.075000000,82.3468
47,M10,M26,0.039000000,0.072500000,82.3241
48,M14,M18,-0.032500000,-0.075000000,81.7389
49,M14,M20,-0.059500000,-0.056000000,81.7083
50,M24,M29,0.060000000,-0.055000000,81.3941
51,M17,M23,-0.026000000,0.077000000,81.2712
52,M27,M31,-0.019000000,-0.079000000,81.2527
53,M13,M20,-0.071000000,-0.039500000,81.2481
54,M09,M27,0.068500000,0.043500000,81.1449
55,M20,M24,0.033000000,0.074000000,81.0247
56,M15,M31,0.034500000,-0.072500000,80.2901
57,M23,M28,0.078000000,-0.019000000,80.2808
58,M21,M31,0.071000000,-0.036000000,79.6053
59,M21,M25,0.055000000,0.057000000,79.2086
60,M16,M30,0.067000000,-0.042000000,79.0759
61,M18,M23,-0.012000000,0.078000000,78.9177
62,M17,M28,0.052000000,0.058000000,77.8974
63,M10,M25,0.021000000,0.074500000,77.4032
64,M19,M30,0.076000000,0.014500000,77.3709
65,M16,M31,0.051000000,-0.058000000,77.2334
66,M16,M29,0.074000000,-0.021000000,76.9220
67,M22,M26,0.069000000,0.034000000,76.9220
68,M26,M30,0.014000000,-0.075000000,76.2955
69,M14,M17,-0.018500000,-0.074000000,76.2775
70,M18,M29,0.066000000,0.038000000,76.1577
71,M09,M28,0.072500000,0.022500000,75.9111
72,M11,M24,-0.024000000,0.072000000,75.8947
73,M15,M30,0.050500000,-0.056500000,75.7793
74,M09,M26,0.051500000,0.055500000,75.7133
75,M19,M23,0.005000000,0.075500000,75.6654
76,M12,M20,-0.073500000,-0.017000000,75.4404
77,M15,M19,-0.025500000,-0.071000000,75.4404
78,M13,M21,-0.072000000,-0.021500000,75.1415
79,M14,M31,0.010500000,-0.074000000,74.7412
80,M12,M21,-0.074500000,0.001000000,74.5067
81,M23,M27,0.074000000,0.002000000,74.0270
82,M07,M19,-0.044300000,-0.059300000,74.0201
83,M16,M28,0.074000000,0.000000000,74.0000
84,M15,M18,-0.008500000,-0.073500000,73.9899
85,M12,M22,-0.070500000,0.022000000,73.8529
86,M10,M24,0.000000000,0.073500000,73.5000
87,M13,M18,-0.044000000,-0.058500000,73.2001
88,M16,M27,0.070000000,0.021000000,73.0821
89,M11,M25,-0.003000000,0.073000000,73.0616
90,M14,M32,-0.010500000,-0.072000000,72.7616
91,M15,M17,0.005500000,-0.072500000,72.7083
92,M11,M26,0.015000000,0.071000000,72.5672
93,M09,M29,0.072500000,0.001500000,72.5155
94,M20,M31,0.070000000,-0.018000000,72.2772
95,M02,M27,0.058800000,0.041600000,72.0278
96,M12,M23,-0.058500000,0.042000000,72.0156
97,M10,M28,0.060000000,0.039500000,71.8349
98,M12,M19,-0.063500000,-0.033500000,71.7948
99,M15,M32,0.013500000,-0.070500000,71.7809
100,M22,M32,0.046000000,-0.055000000,71.7008
101,M14,M21,-0.060500000,-0.038000000,71.4440
102,M28,M32,-0.044000000,-0.056000000,71.2180
103,M11,M23,-0.042000000,0.057000000,70.8025
104,M03,M27,0.051200000,0.048200000,70.3184
105,M12,M24,-0.040500000,0.057000000,69.9232
106,M03,M26,0.034200000,0.060200000,69.2364
107,M07,M20,-0.054300000,-0.042800000,69.1399
108,M08,M19,-0.034500000,-0.059900000,69.1250
109,M24,M28,0.060000000,-0.034000000,68.9638
110,M06,M19,-0.051600000,-0.045300000,68.6633
111,M17,M22,-0.038000000,0.057000000,68.5055
112,M09,M30,0.065500000,-0.019500000,68.3411
113,M25,M29,0.039000000,-0.056000000,68.2422
114,M13,M22,-0.068000000,-0.000500000,68.0018
115,M06,M20,-0.061600000,-0.028800000,68.0000
116,M02,M26,0.041800000,0.053600000,67.9721
117,M15,M29,0.057500000,-0.035500000,67.5759
118,M07,M18,-0.027300000,-0.061800000,67.5613
119,M01,M27,0.058000000,0.034000000,67.2309
120,M11,M27,0.032000000,0.059000000,67.1193
121,M09,M25,0.033500000,0.057500000,66.5470
122,M08,M31,0.025500000,-0.061400000,66.4847
123,M02,M28,0.062800000,0.020600000,66.0924
124,M04,M26,0.025200000,0.060700000,65.7231
125,M21,M24,0.034000000,0.056000000,65.5134
126,M11,M22,-0.054000000,0.037000000,65.4599
127,M15,M20,-0.035500000,-0.054500000,65.0423
128,M13,M17,-0.030000000,-0.057500000,64.8556
129,M08,M18,-0.017500000,-0.062400000,64.8075
130,M05,M20,-0.061300000,-0.020900000,64.7650
131,M04,M27,0.042200000,0.048700000,64.4401
132,M03,M25,0.016200000,0.062200000,64.2750
133,M17,M29,0.052000000,0.037000000,63.8201
134,M14,M30,0.026500000,-0.058000000,63.7672
135,M16,M32,0.030000000,-0.056000000,63.5295
136,M06,M21,-0.062600000,-0.010800000,63.5248
137,M05,M19,-0.051300000,-0.037400000,63.4858
138,M01,M28,0.062000000,0.013000000,63.3482
139,M04,M24,-0.013800000,0.061700000,63.2244
140,M04,M25,0.007200000,0.062700000,63.1120
141,M27,M30,-0.003000000,-0.063000000,63.0714
142,M02,M29,0.062800000,-0.000400000,62.8013
143,M07,M31,0.015700000,-0.060800000,62.7943
144,M10,M29,0.060000000,0.018500000,62.7873
145,M18,M22,-0.024000000,0.058000000,62.7694
146,M01,M29,0.062000000,-0.008000000,62.5140
147,M16,M26,0.053000000,0.033000000,62.4340
148,M22,M25,0.051000000,0.036000000,62.4260
149,M28,M31,-0.023000000,-0.058000000,62.3939
150,M05,M21,-0.062300000,-0.002900000,62.3675
151,M07,M17,-0.013300000,-0.060800000,62.2377
152,M01,M30,0.055000000,-0.029000000,62.1772
153,M08,M20,-0.044500000,-0.043400000,62.1596
154,M16,M17,0.022000000,-0.058000000,62.0322
155,M01,M26,0.041000000,0.046000000,61.6198
156,M03,M28,0.055200000,0.027200000,61.5376
157,M08,M30,0.041500000,-0.045400000,61.5094
158,M10,M14,0.026500000,0.055500000,61.5020
159,M08,M17,-0.003500000,-0.061400000,61.4997
